-0.022640,-0.000717,0.004851
-0.023593,0.008965,0.007608
-0.073527,-0.016879,-0.013010
-0.016208,0.039493,-0.016644
-0.048956,-0.004051,-0.006566
-0.037510,-0.046256,-0.057209
-0.017308,-0.055371,-0.004183
-0.060044,0.025441,-0.051888
-0.054436,-0.046444,-0.035122
-0.003557,0.026789,-0.049881
-0.032530,0.005620,-0.069833
-0.024756,0.041820,-0.084501
-0.028575,0.004794,-0.043526
-0.003028,-0.013438,-0.096546
-0.025453,0.052600,0.009295
-0.036106,0.277412,-0.150414
0.017095,0.011405,0.015236
0.005651,0.023269,0.050023
-0.081991,0.033129,-0.040181
0.040166,0.069835,0.049827
-0.020081,-0.018473,0.018037
0.071750,0.026169,0.002156
0.046173,0.011627,0.004282
-0.024368,0.043928,0.046575
-0.004402,0.006756,-0.024718
0.040353,0.049280,-0.060331
0.008903,-0.039768,0.046111
-0.037715,-0.015289,0.059223
-0.025267,0.026581,0.012917
-0.046378,0.034095,0.041872
-0.038870,0.034159,0.085341
0.010499,0.018863,0.007202
0.049005,0.067552,0.055600
-0.009641,0.069783,0.065978
-0.022559,-0.028455,-0.006756
-0.117132,-0.128043,0.003715
-0.016208,-0.439102,-0.001090
0.013425,-0.046152,0.015638
0.065500,-0.065163,-0.036546
0.000275,-0.004185,0.011899
0.002380,0.004817,0.018528
0.017644,-0.025490,-0.009125
0.016997,0.025465,0.028857
-0.025276,0.023235,-0.011108
0.003525,-0.032399,-0.051153
0.014790,-0.011214,0.019699
-0.052945,0.044001,0.018679
-0.020659,0.031459,0.013981
-0.043478,0.005734,0.006282
-0.013982,0.011677,0.054314
0.010151,-0.025257,0.053442
0.012769,0.017000,0.041289
-0.042315,-0.021864,0.066441
0.046561,0.032044,-0.009771
-0.020041,-0.022130,0.038298
-0.015500,-0.021283,0.038704
0.004508,0.013193,-0.000457
-0.040030,0.007598,0.018341
-0.029740,0.022792,-0.010522
0.004202,0.005397,0.014071
0.044815,-0.015891,0.004407
-0.014122,0.001633,0.032447
0.018006,0.067396,0.030893
0.005307,0.033788,0.046860
-0.018493,-0.000081,0.019547
