u_polar: -11703.433738

pos: -2.675000,-8.702000,-14.518000 ef_static: 1.626522,-1.082590,-1.931337 mu: 1.443592,-1.402756,-2.340158
pos: -3.166000,-9.905000,-14.245000 ef_static: 2.364536,-1.923943,-2.343625 mu: 2.376956,-2.230196,-2.810578
pos: -2.814000,-11.058000,-14.981000 ef_static: 2.908477,-1.967218,-0.899293 mu: 1.645357,-3.022501,-1.535860
pos: -4.278000,-12.826000,-14.014000 ef_static: 1.933565,-0.928509,-1.450953 mu: 2.032718,-0.060340,-2.360585
pos: -3.310000,-12.360000,-14.815000 ef_static: 4.569700,-1.769679,0.124139 mu: 3.366962,-1.800904,-0.012326
pos: -2.923000,-12.969000,-15.319000 ef_static: 5.292547,-0.620406,1.802942 mu: 1.839970,-0.686336,0.218750
pos: 1.774000,-10.452000,-19.021000 ef_static: 2.708866,-1.367927,1.075858 mu: 5.105710,-5.719304,2.183221
pos: -0.234000,-9.483000,-17.249000 ef_static: 1.445323,0.271305,4.250016 mu: 0.131825,1.089391,3.981041
pos: -1.286000,-9.631000,-16.220000 ef_static: 3.021483,-1.512634,2.886231 mu: 2.305931,-3.293202,2.721862
pos: -1.739000,-8.535000,-15.527000 ef_static: 2.653027,-1.836246,-0.346425 mu: 3.318098,-1.590186,-1.883178
pos: -1.832000,-10.870000,-15.944000 ef_static: 1.356717,-1.273749,2.070068 mu: 0.823513,-1.500407,0.635225
pos: 0.365000,-10.504000,-17.647000 ef_static: 1.628773,3.517536,5.199295 mu: 0.920658,3.778448,2.824415
pos: 0.002000,-8.293000,-17.643000 ef_static: 0.416487,-0.531005,1.506146 mu: -0.185181,-0.364649,0.452450
pos: -1.523000,-11.625000,-16.434000 ef_static: -0.852907,-1.723218,3.273359 mu: -0.377432,-0.849134,0.454257
pos: 1.308803,-9.483073,-14.296801 ef_static: 0.798799,-5.788844,3.466967 mu: 0.166306,-3.402603,2.714391
pos: 1.342993,-9.474095,-14.233900 ef_static: 0.699282,-5.667814,2.810941 mu: -0.000000,0.000000,-0.000000
pos: 3.196000,-8.866000,-17.163000 ef_static: -2.077087,-1.595303,-0.186699 mu: -2.166386,-1.719547,0.235761
pos: 4.041000,-8.680000,-15.935000 ef_static: 0.042835,-0.074421,-2.505603 mu: 0.230325,0.582301,-1.745220
pos: 5.530000,-8.371000,-13.609000 ef_static: 2.442513,-1.064172,0.063591 mu: 0.771803,-0.356745,-1.087652
pos: 4.554000,-9.779000,-15.287000 ef_static: 1.941869,-1.512664,-2.016062 mu: 3.678450,0.070892,-1.139353
pos: 5.271000,-9.666000,-14.098000 ef_static: 3.028092,-2.507640,2.089677 mu: 3.318334,-3.749323,3.202454
pos: 4.448000,-12.517000,-14.104000 ef_static: -0.602087,1.277311,1.133100 mu: 0.991838,1.820348,1.166752
pos: 3.044000,-10.008000,-17.607000 ef_static: -1.033366,-0.702170,-0.069139 mu: 0.005763,-0.377188,0.038494
pos: 4.417000,-10.641000,-15.662000 ef_static: -0.501952,-2.050411,-0.741728 mu: -0.439637,-0.434068,0.124799
pos: 10.208438,-12.846635,-14.083150 ef_static: -0.839315,-0.979504,1.296453 mu: -0.706412,-0.618857,0.547936
pos: 10.228516,-12.898937,-14.128772 ef_static: -0.796968,-0.907095,1.304266 mu: 0.000000,0.000000,-0.000000
