Title

750 atoms
3 atom types
600 bonds
600 bond types

-10.797442 10.797442 xlo xhi
-10.797442 10.797442 ylo yhi
-10.797442 10.797442 zlo zhi


Atoms

1 1 1 -0.74640 2.241 6.834 -0.211 #H2G
2 1 2 0.37320 1.924 6.680 -0.329 #H2E
3 1 2 0.37320 2.558 6.987 -0.093 #H2E
4 1 3 0.00000 1.931 6.684 -0.326 #H2N
5 1 3 0.00000 2.550 6.983 -0.095 #H2N
6 2 1 -0.74640 -7.055 9.708 4.108 #H2G
7 2 2 0.37320 -7.197 9.401 3.955 #H2E
8 2 2 0.37320 -6.911 10.015 4.260 #H2E
9 2 3 0.00000 -7.195 9.407 3.958 #H2N
10 2 3 0.00000 -6.915 10.008 4.256 #H2N
11 3 1 -0.74640 8.387 -9.263 7.524 #H2G
12 3 2 0.37320 8.209 -9.281 7.850 #H2E
13 3 2 0.37320 8.563 -9.244 7.198 #H2E
14 3 3 0.00000 8.214 -9.281 7.843 #H2N
15 3 3 0.00000 8.559 -9.244 7.205 #H2N
16 4 1 -0.74640 -1.360 2.399 8.079 #H2G
17 4 2 0.37320 -1.699 2.412 8.228 #H2E
18 4 2 0.37320 -1.020 2.385 7.930 #H2E
19 4 3 0.00000 -1.692 2.412 8.224 #H2N
20 4 3 0.00000 -1.026 2.385 7.933 #H2N
21 5 1 -0.74640 -9.235 -2.178 9.847 #H2G
22 5 2 0.37320 -8.991 -1.997 10.062 #H2E
23 5 2 0.37320 -9.478 -2.359 9.635 #H2E
24 5 3 0.00000 -8.996 -2.000 10.056 #H2N
25 5 3 0.00000 -9.474 -2.355 9.640 #H2N
26 6 1 -0.74640 -2.950 -3.335 -6.101 #H2G
27 6 2 0.37320 -3.004 -3.044 -6.325 #H2E
28 6 2 0.37320 -2.897 -3.625 -5.876 #H2E
29 6 3 0.00000 -3.003 -3.050 -6.321 #H2N
30 6 3 0.00000 -2.897 -3.618 -5.881 #H2N
31 7 1 -0.74640 -5.708 -10.224 1.566 #H2G
32 7 2 0.37320 -5.492 -10.505 1.454 #H2E
33 7 2 0.37320 -5.923 -9.943 1.675 #H2E
34 7 3 0.00000 -5.497 -10.499 1.457 #H2N
35 7 3 0.00000 -5.918 -9.948 1.673 #H2N
36 8 1 -0.74640 -10.334 7.824 9.765 #H2G
37 8 2 0.37320 -9.973 7.810 9.851 #H2E
38 8 2 0.37320 -10.695 7.838 9.679 #H2E
39 8 3 0.00000 -9.982 7.810 9.849 #H2N
40 8 3 0.00000 -10.687 7.838 9.681 #H2N
41 9 1 -0.74640 -4.060 1.418 4.312 #H2G
42 9 2 0.37320 -4.014 1.314 3.959 #H2E
43 9 2 0.37320 -4.107 1.524 4.664 #H2E
44 9 3 0.00000 -4.014 1.316 3.967 #H2N
45 9 3 0.00000 -4.106 1.521 4.657 #H2N
46 10 1 -0.74640 -0.129 2.863 4.113 #H2G
47 10 2 0.37320 -0.226 3.221 4.130 #H2E
48 10 2 0.37320 -0.032 2.505 4.098 #H2E
49 10 3 0.00000 -0.223 3.213 4.129 #H2N
50 10 3 0.00000 -0.035 2.512 4.097 #H2N
51 11 1 -0.74640 -7.031 -0.359 3.685 #H2G
52 11 2 0.37320 -7.104 -0.376 4.049 #H2E
53 11 2 0.37320 -6.958 -0.344 3.323 #H2E
54 11 3 0.00000 -7.103 -0.375 4.040 #H2N
55 11 3 0.00000 -6.959 -0.345 3.330 #H2N
56 12 1 -0.74640 -3.090 -5.833 8.298 #H2G
57 12 2 0.37320 -3.219 -5.804 7.951 #H2E
58 12 2 0.37320 -2.961 -5.862 8.644 #H2E
59 12 3 0.00000 -3.217 -5.804 7.959 #H2N
60 12 3 0.00000 -2.963 -5.862 8.636 #H2N
61 13 1 -0.74640 0.515 -9.487 7.109 #H2G
62 13 2 0.37320 0.259 -9.701 6.947 #H2E
63 13 2 0.37320 0.771 -9.272 7.271 #H2E
64 13 3 0.00000 0.265 -9.695 6.951 #H2N
65 13 3 0.00000 0.766 -9.276 7.266 #H2N
66 14 1 -0.74640 -3.553 10.520 4.381 #H2G
67 14 2 0.37320 -3.607 10.673 4.046 #H2E
68 14 2 0.37320 -3.499 10.368 4.714 #H2E
69 14 3 0.00000 -3.606 10.671 4.054 #H2N
70 14 3 0.00000 -3.501 10.371 4.708 #H2N
71 15 1 -0.74640 0.982 -2.923 -0.993 #H2G
72 15 2 0.37320 0.746 -2.666 -0.863 #H2E
73 15 2 0.37320 1.215 -3.180 -1.121 #H2E
74 15 3 0.00000 0.751 -2.673 -0.866 #H2N
75 15 3 0.00000 1.212 -3.175 -1.118 #H2N
76 16 1 -0.74640 1.759 -0.042 7.168 #H2G
77 16 2 0.37320 1.610 -0.094 6.832 #H2E
78 16 2 0.37320 1.907 0.010 7.504 #H2E
79 16 3 0.00000 1.614 -0.093 6.839 #H2N
80 16 3 0.00000 1.903 0.009 7.496 #H2N
81 17 1 -0.74640 0.048 3.154 -0.952 #H2G
82 17 2 0.37320 0.301 3.424 -0.985 #H2E
83 17 2 0.37320 -0.204 2.884 -0.919 #H2E
84 17 3 0.00000 0.295 3.417 -0.984 #H2N
85 17 3 0.00000 -0.200 2.890 -0.921 #H2N
86 18 1 -0.74640 -4.777 5.098 3.139 #H2G
87 18 2 0.37320 -4.962 5.245 3.424 #H2E
88 18 2 0.37320 -4.591 4.952 2.853 #H2E
89 18 3 0.00000 -4.957 5.242 3.418 #H2N
90 18 3 0.00000 -4.595 4.955 2.859 #H2N
91 19 1 -0.74640 -8.698 7.564 6.853 #H2G
